Title,Desc_of_movies,IMDB_ID,Directors,Actors,Genres,Languages
Naomi and Ely's No Kiss List ,"Naomi and her gay best friend, Ely, have been inseparable since childhood, but their bond faces its biggest test yet when they fall for the same guy.",3282858,Kristin Hanggi,"Victoria Justice, Pierson Fode, Matthew Daddario, Ryan Ward, Griffin Newman, Monique Coleman, Danny Flaherty, Gary Betsworth, Dean Kapica, Marianne Hagan, Maddie Corman, Petronia Paley, Kathy Tong, Cliff Samara, Roger Yeh, David Newhouse, Connor Antico, Ali Skye Bennet, Lucy Campbell, Portia, Michael DeMello, Olamide Faison, Doug Plaut, Sergi Robles, Spike Christie, Dan Asher, Adrian Centoni, Dan Mackenzie, Enoch Porch, Sean Stonecipher Bennett, Kevin Abernethy, Charles Cain, AJ Cedeno, Benjamin Eakeley, David Eggers, Alanna Fox, Najee Griffin, Miki Hanta, Cindy Ho, Kevin Ho, Salma Khan, Gianna Marino, Juliette Marotta, Andi Matichak, Shane Mehigan, Kurt Meier, Roy Nowlin, Dorsea Palmer, Cassie Prusiensky, Robyn Pugh, Madison Riley, Jacinto Romero, Kristen Romond, Michael Ruggiere, Lucas Saiter, Jason B. Schmidt, Casey Smith, Eshita Starr, Will Torres, Tashiana Washington","Comedy, Drama, Romance","English, Spanish"
Nappily Ever After ,"When a perfectionist ad exec experiences a romantic setback, she embarks on a journey of self-discovery that begins with a dramatic hair makeover.",365545,Haifaa Al-Mansour,"Sanaa Lathan, Ricky Whittle, Lyriq Bent, Lynn Whitfield, Ernie Hudson, Daria Johns, Camille Guaty, Brittany S. Hall, Terry Serpico, Jen Harper, Danielle Lyn, George Wallace, John Salley, RonReaco Lee, Bo Yokely, Audrey Reid Couch, Tracey Bonner, Catherine Dyer, Gabrielle Manning, Maurie A. Chandler, Austin Chunn, Racquel Bianca John, Adam Niemann, Ashlyn Love, Ava Love, Maxie McClintock, Kai N. Ture, Annie Konduros, Cedric Greenway, Kiley Casciano Davis, Carolann Utley, Josephine Lundy, Janice Wesley, Vanessa Cozart, Amethyst Davis, Dannon Green, Puff the Dog, Parker Amrani, Cassidy Bigham, Rachel Dinkins, Niles Finklea, Ryan Newton, Jason von Stein, Shar Bates, Jess Marie Carr, Ashleigh Breanne Curry, Ashley S. Evans, Julie Ann Fay, Anthony B. Harris, Jaxson Hunt, Brian Kayode-Patrick Johnson, Damon King Jr., Aleia Kristene, George Lott, Emily Riney Maher, Travon Mcfarland, Greg Puckett, Letecia Reeder, Amber E. Walker, Windi Washington, Benjamin Weaver, Alexander Williams-Green","Comedy, Drama, Romance",English
Naruto Shippûden the Movie: The Will of Fire ,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",No ID found,NAN,NAN,NAN,NAN
Naruto Shippûden the Movie: Bonds ," When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",No ID found,NAN,NAN,NAN,NAN
Naruto Shippuden : Blood Prison ,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",No ID found,NAN,NAN,NAN,NAN
Naruto Shippuden: The Movie ," The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon -- but to do so, he must die.",No ID found,NAN,NAN,NAN,NAN
Naruto Shippuden: The Movie: The Lost Tower ,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",No ID found,NAN,NAN,NAN,NAN
Naruto the Movie 2: Legend of the Stone of Gelel ,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",No ID found,NAN,NAN,NAN,NAN
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom ,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",1071815,Toshiyuki Tsuru,"Junko Takeuchi, Chie Nakamura, Yôichi Masukawa, Kazuhiko Inoue, Akio Ôtsuka, Kyosuke Ikeda, Rokurô Naya, Marika Hayashi, Tomomichi Nishimura, Kenji Hamada, Umeji Sasaki, Masashi Sugawara, Haruhi Nanao, Hisao Egawa, Steve Blum, Brian Donovan, Maile Flanagan, Michael Forest, William Germain, Kyôko Hamaguchi, Kate Higgins, Bridget Hoffman, Dave Mallow, Mary Elizabeth McGlynn, Jamieson Price, Sam Riegel, Cindy Robinson, Roger Rose, Keith Silverstein, Christopher Corey Smith, Roger Craig Smith, Michael Sorich, Terrence Stone, Kirk Thornton, Kari Wahlgren, Debi Mae West, Wally Wingert, Dave Wittenberg","Animation, Action, Adventure",Japanese
Naruto the Movie: Ninja Clash in the Land of Snow ,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",476680,Tensai Okamura,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Kazuhiko Inoue, Yûko Kaida, Chikao Ohtsuka, Hidehiko Ishizuka, Tsutomu Isobe, Harî Kaneko, Jun Karasawa, Hirotaka Suzuoki, Karen Miyama, Masayo Hosono, Tomo Shigematsu, Yuki, Akimitsu Takase, Yutaka Nakano, Kan Tanaka, Cam Clarke, Maile Flanagan, Crispin Freeman, Kyle Hebert, Kate Higgins, David Jeremiah, Lex Lang, Yuri Lowenthal, Michael McConnohie, Daran Norris, Liam O'Brien, Jamieson Price, Sam Riegel, Cindy Robinson, Jamie Simone, Doug Stone, Kari Wahlgren, Dave Wittenberg, Kim Anh, Tuan Anh, Hoang Khuyet, Tri Luan, Ta Ba Nghi, Kim Ngoc, Hanh Phuc, Thuy Tien, Chanh Tin","Animation, Action, Adventure, Comedy",Japanese
Nasha ,"A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out.",3044882,Amit Saxena,"Poonam Pandey, Shivam Patil, Vishal Bhonsle, Mohit Chauhan, Ranbir Chakma, Sheetal Singh, Rohan Khurana, Chirag Lobo, Tanuka Laghate, Nikhil Desai, Nation Chakma, Akshay Bhagat, Raj Kesaria, Afreen Khan","Drama, Thriller",Hindi
Nasha Natasha ,Concert and behind-the-scenes footage capture life on tour for Uruguayan sensation Natalia Oreiro as she performs for packed crowds throughout Russia.,5818722,Martín Sastre,"Natalia Oreiro, Merlín Atahualpa Mollo Oreiro, Ricardo Mollo, Carlos Oreiro, Mabel Iglesias, Adriana Oreiro, Valeria Lorca, Rosa Grisel Martínez, Dorita Chávez, Facundo Arana","Documentary, Biography, Music","Russian, Spanish"
